agcr: agropyron cristatum, crested wheatgrass
alde: alyssum desertorum, desert madwort
artr2: artemisia tridentata, big sagebrush
brte: bromus tectorum, cheatgrass
chte2: chorispora tenella, crossflower
ertr13: eremopyrum triticeum, annual wheatgrass
kosc: kochia scoparia, mexican-fireweed
pasm: pascopyrum smithii, western wheatgrass
kosi3: kochia sieversiana, mexican-fireweed
amut: amelanchier utahensis, utah serviceberry
arno4: artemisia nova, black sagebrush
phho: phlox hoodii, spiny phlox
pofe: poa fendleriana, muttongrass
putr2: purshia tridentata, antelope bitterbrush
syor2: symphoricarpos oreophilus, mountain snowberry
achy: achnatherum hymenoides, indian ricegrass
bewy: besseya wyomingensis, wyoming besseya
copa3: collinsia parviflora, maiden blue eyed mary
mehu2: mertensia humilis, rocky mountain bluebells
prvi: prunus virginiana, chokecherry
pssp6: pseudoroegneria spicata, bluebunch wheatgrass
trgy: trifolium gymnocarpon, hollyleaf clover
vinu2: viola nuttallii, nuttall`s violet
acmi2: achillea millefolium, common yarrow
arho2: arabis holboellii, holboell`s rockcress
coum: comandra umbellata, bastard toadflax
eras2: erysimum asperum, sanddune wallflower
frvi: fragaria virginiana, virginia strawberry
lile10: linum lewisii, blue flax
mare11: mahonia repens, creeping barberry
mela3: mertensia lanceolata, prairie bluebells
popr: poa pratensis, kentucky bluegrass
taof: taraxacum officinale, common dandelion
cage2: carex geyeri, geyer`s sedge
frat: fritillaria atropurpurea, spotted fritillary
pamy: paxistima myrsinites, oregon boxleaf
potr5: populus tremuloides, quaking aspen
arfr4: artemisia frigida, prairie sagewort
cemo2: cercocarpus montanus, alderleaf mountain mahogany
chdo: chaenactis douglasii, douglas` dustymaiden
elel5: elymus elymoides, squirreltail
erna10: ericameria nauseosa, rubber rabbitbrush
abab3: abutilon abutilon, velvetleaf
abam3: abronia ammophila, wyoming sand verbena
abav: abutilon avicennae, velvetleaf
abba: abies balsamea, balsam fir
abbi3: abies bifolia, subalpine fir
abco: abies concolor, white fir
abcy2: abronia cycloptera, smallflower sandverbena
abel: abronia elliptica, fragrant white sand verbena
abfe: abronia fendleri, wyoming sand verbena
abfr2: abronia fragrans, snowball sand verbena
abla: abies lasiocarpa, subalpine fir
abme: abronia mellifera, white sand verbena
abmi3: abronia micrantha, smallflower sandverbena
abpu2: abronia pumila, fragrant white sand verbena
abra: abronia ramosa, fragrant white sand verbena
absa3: abronia salsa, fragrant white sand verbena
absu: abies subalpina, subalpine fir
abth: abutilon theophrasti, velvetleaf
acac2: actinea acaulis, stemless four-nerve daisy
acac3: actinella acaulis, stemless four-nerve daisy
acac5: acetosella acetosella, common sheep sorrel
